Row ID,Ship Date,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit,month,year
1,11/11/2016,FUR-BO-10001798,Furniture,Bookcases,261.96,2,0,41.9136,11,2016
2,11/11/2016,FUR-CH-10000454,Furniture,Chairs,731.94,3,0,219.582,11,2016
3,16/6/2016,OFF-LA-10000240,Office Supplies,Labels,14.62,2,0,6.8714,6,2016
4,18/10/2015,FUR-TA-10000577,Furniture,Tables,957.5775,5,0.45,-383.031,10,2015
5,18/10/2015,OFF-ST-10000760,Office Supplies,Storage,22.368,2,0.2,2.5164,10,2015
6,14/6/2014,FUR-FU-10001487,Furniture,Furnishings,48.86,7,0,14.1694,6,2014
7,14/6/2014,OFF-AR-10002833,Office Supplies,Art,7.28,4,0,1.9656,6,2014
8,14/6/2014,TEC-PH-10002275,Technology,Phones,907.152,6,0.2,90.7152,6,2014
9,14/6/2014,OFF-BI-10003910,Office Supplies,Binders,18.504,3,0.2,5.7825,6,2014
10,14/6/2014,OFF-AP-10002892,Office Supplies,Appliances,114.9,5,0,34.47,6,2014
11,14/6/2014,FUR-TA-10001539,Furniture,Tables,1706.184,9,0.2,85.3092,6,2014
12,14/6/2014,TEC-PH-10002033,Technology,Phones,911.424,4,0.2,68.3568,6,2014
13,20/4/2017,OFF-PA-10002365,Office Supplies,Paper,15.552,3,0.2,5.4432,4,2017
14,10/12/2016,OFF-BI-10003656,Office Supplies,Binders,407.976,3,0.2,132.5922,12,2016
15,26/11/2015,OFF-AP-10002311,Office Supplies,Appliances,68.81,5,0.8,-123.858,11,2015
16,26/11/2015,OFF-BI-10000756,Office Supplies,Binders,2.544,3,0.8,-3.816,11,2015
17,18/11/2014,OFF-ST-10004186,Office Supplies,Storage,665.88,6,0,13.3176,11,2014
18,15/5/2014,OFF-ST-10000107,Office Supplies,Storage,55.5,2,0,9.99,5,2014
19,1/9/2014,OFF-AR-10003056,Office Supplies,Art,8.56,2,0,2.4824,9,2014
20,1/9/2014,TEC-PH-10001949,Technology,Phones,213.48,3,0.2,16.011,9,2014
21,1/9/2014,OFF-BI-10002215,Office Supplies,Binders,22.72,4,0.2,7.384,9,2014
22,13/12/2016,OFF-AR-10000246,Office Supplies,Art,19.46,7,0,5.0596,12,2016
23,13/12/2016,OFF-AP-10001492,Office Supplies,Appliances,60.34,7,0,15.6884,12,2016
24,18/7/2017,FUR-CH-10002774,Furniture,Chairs,71.372,2,0.3,-1.0196,7,2017
25,30/9/2015,FUR-TA-10000577,Furniture,Tables,1044.63,3,0,240.2649,9,2015
26,20/1/2016,OFF-BI-10001634,Office Supplies,Binders,11.648,2,0.2,4.2224,1,2016
27,20/1/2016,TEC-AC-10003027,Technology,Accessories,90.57,3,0,11.7741,1,2016
28,21/9/2015,FUR-BO-10004834,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,9,2015
29,21/9/2015,OFF-BI-10000474,Office Supplies,Binders,9.618,2,0.7,-7.0532,9,2015
30,21/9/2015,FUR-FU-10004848,Furniture,Furnishings,124.2,3,0.2,15.525,9,2015
31,21/9/2015,OFF-EN-10001509,Office Supplies,Envelopes,3.264,2,0.2,1.1016,9,2015
32,21/9/2015,OFF-AR-10004042,Office Supplies,Art,86.304,6,0.2,9.7092,9,2015
33,21/9/2015,OFF-BI-10001525,Office Supplies,Binders,6.858,6,0.7,-5.715,9,2015
34,21/9/2015,OFF-AR-10001683,Office Supplies,Art,15.76,2,0.2,3.546,9,2015
35,23/10/2017,OFF-PA-10000249,Office Supplies,Paper,29.472,3,0.2,9.9468,10,2017
36,10/12/2016,TEC-PH-10004977,Technology,Phones,1097.544,7,0.2,123.4737,12,2016
37,10/12/2016,FUR-FU-10003664,Furniture,Furnishings,190.92,5,0.6,-147.963,12,2016
38,31/12/2015,OFF-EN-10002986,Office Supplies,Envelopes,113.328,9,0.2,35.415,12,2015
39,31/12/2015,FUR-BO-10002545,Furniture,Bookcases,532.3992,3,0.32,-46.9764,12,2015
40,31/12/2015,FUR-CH-10004218,Furniture,Chairs,212.058,3,0.3,-15.147,12,2015
41,31/12/2015,TEC-PH-10000486,Technology,Phones,371.168,4,0.2,41.7564,12,2015
42,15/9/2017,TEC-PH-10004093,Technology,Phones,147.168,4,0.2,16.5564,9,2017
43,22/7/2016,OFF-ST-10003479,Office Supplies,Storage,77.88,2,0,3.894,7,2016
44,23/9/2017,OFF-ST-10003282,Office Supplies,Storage,95.616,2,0.2,9.5616,9,2017
45,13/3/2016,TEC-AC-10000171,Technology,Accessories,45.98,2,0,19.7714,3,2016
46,13/3/2016,OFF-BI-10003291,Office Supplies,Binders,17.46,2,0,8.2062,3,2016
47,25/10/2014,OFF-ST-10001713,Office Supplies,Storage,211.96,4,0,8.4784,10,2014
48,25/6/2016,TEC-AC-10002167,Technology,Accessories,45,3,0,4.95,6,2016
49,25/6/2016,TEC-PH-10003988,Technology,Phones,21.8,2,0,6.104,6,2016
50,22/4/2015,OFF-BI-10004410,Office Supplies,Binders,38.22,6,0,17.9634,4,2015
51,22/4/2015,OFF-LA-10002762,Office Supplies,Labels,75.18,6,0,35.3346,4,2015
52,22/4/2015,FUR-FU-10001706,Furniture,Furnishings,6.16,2,0,2.9568,4,2015
53,22/4/2015,FUR-CH-10003061,Furniture,Chairs,89.99,1,0,17.0981,4,2015
54,17/12/2016,OFF-FA-10000304,Office Supplies,Fasteners,15.26,7,0,6.2566,12,2016
55,17/12/2016,TEC-PH-10002447,Technology,Phones,1029.95,5,0,298.6855,12,2016
56,18/6/2016,OFF-ST-10000604,Office Supplies,Storage,208.56,6,0,52.14,6,2016
57,18/6/2016,OFF-PA-10001569,Office Supplies,Paper,32.4,5,0,15.552,6,2016
58,18/6/2016,FUR-CH-10003968,Furniture,Chairs,319.41,5,0.1,7.098,6,2016
